feature,importance
y,987
accel_magnitude_future_3,601
height_normalized_diff_1,560
dist_from_center,559
time_in_point,555
y_smooth,541
jerk_magnitude_future_5,521
accel_magnitude_future_5,517
accel_horizontal,507
frame_idx,500
height_normalized_std_3,490
delta_angle_future_3,446
jerk_x,433
delta_angle_future_2,417
jerk_magnitude_diff_3,416
accel_magnitude_past_3,415
delta_angle_future_5,412
jerk_magnitude_std_3,387
jerk_magnitude_diff_1,373
accel_magnitude_future_2,372
jerk_magnitude_future_3,368
delta_angle_min_5,362
v_horizontal,359
accel_magnitude_past_5,353
delta_angle_past_5,353
vy_past_vs_future,351
x,351
delta_angle_min_3,346
height_raw,345
jerk_magnitude_past_3,344
jerk_magnitude_diff_2,342
angle,341
jerk_magnitude_past_5,339
ax,334
vy_diff_5,321
speed_past_vs_future,318
delta_angle_past_3,317
jerk_magnitude_future_2,316
jerk_y,308
delta_angle_past_2,305
jerk_magnitude_future_1,302
delta_angle_past_1,292
speed_future_5,292
vx,286
jerk_magnitude_past_2,273
vy_future_5,271
accel_magnitude_past_2,271
jerk_magnitude_diff_5,266
accel_magnitude_min_5,263
vy_past_5,251
accel_magnitude_diff_3,244
x_smooth,242
speed_future_3,240
jerk_magnitude_std_5,239
delta_angle_mean_5,239
v_vertical,237
height_change,236
delta_angle_future_1,235
height_normalized_std_5,235
hit_score,233
height_normalized_future_5,223
accel_magnitude_diff_1,223
accel_magnitude_diff_2,221
height_normalized_diff_5,219
accel_magnitude_future_1,215
height_normalized_diff_3,214
jerk_magnitude_past_1,212
vy_future_3,209
delta_angle_diff_1,206
accel_magnitude_past_1,206
speed_future_2,203
speed_past_5,202
speed_future_1,202
vy_past_2,200
energy_change_rate,196
vy_max_5,196
delta_angle_diff_3,193
jerk_magnitude_min_5,193
delta_angle_diff_2,192
speed_diff_5,191
accel_magnitude_diff_5,187
vy_past_3,187
accel_magnitude_min_3,187
vy_diff_3,186
jerk_magnitude_min_3,185
height_normalized_past_5,184
curvature,184
speed_min_5,183
delta_angle_diff_5,182
ay,177
speed_diff_2,175
delta_angle_std_5,174
vy_future_2,168
angular_velocity,168
delta_angle_std_3,167
jerk_magnitude,164
speed_diff_3,163
vy_acceleration,163
speed_past_2,160
height_normalized_diff_2,155
delta_angle,155
speed_past_3,154
height_normalized_past_vs_future,153
accel_sustained,151
delta_angle_max_5,148
accel_magnitude_std_3,146
jerk_sustained,143
speed_past_1,142
speed_std_5,141
delta_angle_mean_3,141
delta_angle_max_3,140
height_normalized,137
speed_min_3,136
speed_std_3,136
vy_min_5,135
trajectory_phase_change,135
vy,134
vy_future_1,130
speed_diff_1,128
vy_std_5,127
energy_change,126
height_normalized_future_1,125
speed,123
vy_mean_5,121
trajectory_phase,119
height_normalized_future_3,119
vy_past_1,118
speed_mean_5,116
vy_max_3,114
accel_vertical,112
vy_std_3,111
height_normalized_past_2,110
accel_magnitude_std_5,107
height_normalized_future_2,107
accel_magnitude,105
speed_max_5,103
vy_mean_3,103
height_normalized_past_1,101
height_normalized_past_3,100
jerk_magnitude_mean_3,99
accel_magnitude_mean_5,96
vy_min_3,94
height_normalized_max_3,91
speed_mean_3,82
jerk_magnitude_max_3,81
bounce_score,80
jerk_magnitude_mean_5,77
speed_max_3,75
accel_magnitude_mean_3,73
kinetic_energy,72
jerk_magnitude_max_5,72
accel_change,66
vy_change,65
vertical_impact,64
accel_magnitude_max_5,59
vy_diff_2,58
accel_magnitude_max_3,56
height_normalized_max_5,55
height_normalized_min_3,53
height_normalized_min_5,52
height_normalized_mean_5,51
speed_change,45
vy_abs_change,43
height_normalized_mean_3,37
vy_will_reverse,26
is_jerk_peak,25
vy_diff_1,15
is_y_local_max,12
vy_is_peak,9
is_y_local_min,7
height_normalized_is_peak,7
is_accel_peak,5
vy_reversed_recently,4
speed_is_peak,4
is_speed_peak,1
vy_reversal_window,0
vy_sign_change,0
